工	A
了	B
以	C
在	D
有	E
地	F
一	G
上	H
不	I
是	J
中	K
国	L
同	M
民	N
为	O
这	P
我	Q
的	R
要	S
和	T
产	U
发	V
人	W
经	X
主	Y
式	A
节	A
芭	A
基	A
菜	A
革	A
七	A
牙	A
东	A
划	A
或	A
功	A
贡	A
世	A
蒌	A
芝	A
区	A
匠	A
苛	A
攻	A
燕	A
切	A
共	A
药	A
芳	A
陈	B
子	B
取	B
承	B
阴	B
际	B
卫	B
耻	B
孙	B
阳	B
职	B
阵	B
出	B
也	B
耿	B
辽	B
隐	B
孤	B
阿	B
降	B
联	B
限	B
队	B
陛	B
防	B
戏	C
邓	C
双	C
参	C
能	C
对	C
骊	C
骒	C
台	C
劝	C
观	C
马	C
驼	C
允	C
牟	C
骠	C
矣	C
骈	C
艰	C
难	C
驻	C
左	D
顾	D
友	D
大	D
胡	D
夺	D
三	D
丰	D
砂	D
百	D
右	D
历	D
面	D
成	D
灰	D
达	D
克	D
原	D
厅	D
帮	D
磁	D
肆	D
春	D
龙	D
太	D
肛	E
服	E
肥	E
须	E
朋	E
肝	E
且	E
鼐	E
膛	E
胆	E
肿	E
肋	E
肌	E
甩	E
膦	E
爱	E
胸	E
遥	E
采	E
用	E
胶	E
妥	E
脸	E
脂	E
及	E
载	F
支	F
城	F
圾	F
寺	F
二	F
直	F
示	F
进	F
吉	F
协	F
南	F
志	F
赤	F
过	F
无	F
垢	F
霜	F
才	F
增	F
雪	F
夫	F
坳	F
坟	F
开	G
屯	G
到	G
天	G
表	G
于	G
五	G
下	G
理	G
事	G
画	G
现	G
与	G
来	G
列	G
珠	G
末	G
玫	G
平	G
妻	G
珍	G
互	G
玉	G
虎	H
齰	H
皮	H
睚	H
肯	H
睦	H
睛	H
止	H
步	H
旧	H
占	H
卤	H
贞	H
卢	H
眯	H
瞎	H
餐	H
睥	H
盯	H
睡	H
瞳	H
眼	H
具	H
此	H
眩	H
江	I
池	I
汉	I
尖	I
肖	I
法	I
汪	I
小	I
水	I
浊	I
澡	I
渐	I
没	I
沁	I
淡	I
学	I
光	I
泊	I
洒	I
少	I
洋	I
当	I
兴	I
涨	I
注	I
虹	J
最	J
紧	J
晨	J
明	J
时	J
量	J
早	J
晃	J
昌	J
蝇	J
曙	J
遇	J
电	J
显	J
晕	J
晚	J
蝗	J
果	J
昨	J
暗	J
归	J
蛤	J
昆	J
景	J
呀	K
啊	K
吧	K
顺	K
吸	K
叶	K
呈	K
吵	K
虽	K
吕	K
另	K
员	K
叫	K
咪	K
喧	K
史	K
听	K
呆	K
呼	K
啼	K
哪	K
只	K
哟	K
嘛	K
轼	L
囝	L
轻	L
因	L
胃	L
轩	L
车	L
四	L
辊	L
加	L
男	L
轴	L
思	L
辚	L
边	L
罗	L
斩	L
困	L
力	L
较	L
轨	L
办	L
累	L
罚	L
曲	M
邮	M
凤	M
央	M
骨	M
财	M
由	M
峭	M
则	M
迥	M
崭	M
册	M
岂	M
嶙	M
迪	M
风	M
贩	M
朵	M
几	M
赠	M
内	M
嶷	M
凡	M
敢	N
怪	N
居	N
导	N
怀	N
收	N
悄	N
慢	N
避	N
惭	N
届	N
忆	N
屡	N
忱	N
懈	N
怕	N
怵	N
必	N
习	N
恨	N
愉	N
尼	N
心	N
煤	O
籽	O
烃	O
类	O
粗	O
灶	O
业	O
粘	O
炒	O
烛	O
炽	O
烟	O
灿	O
断	O
炎	O
迷	O
炮	O
煌	O
灯	O
烽	O
料	O
娄	O
粉	O
糨	O
米	O
宽	P
字	P
害	P
家	P
守	P
定	P
寂	P
宵	P
审	P
宫	P
军	P
宙	P
官	P
灾	P
之	P
宛	P
宾	P
宁	P
客	P
实	P
安	P
空	P
它	P
社	P
氏	Q
凶	Q
色	Q
然	Q
角	Q
针	Q
钱	Q
外	Q
乐	Q
旬	Q
名	Q
甸	Q
负	Q
包	Q
炙	Q
锭	Q
多	Q
铁	Q
钉	Q
儿	Q
匀	Q
争	Q
欠	Q
镪	Q
久	Q
找	R
报	R
反	R
拓	R
扔	R
持	R
后	R
年	R
朱	R
提	R
扣	R
押	R
抽	R
所	R
搂	R
近	R
换	R
折	R
打	R
手	R
拉	R
扫	R
失	R
批	R
扩	R
械	S
李	S
权	S
枯	S
极	S
村	S
本	S
相	S
档	S
查	S
可	S
楞	S
机	S
杨	S
杰	S
棕	S
构	S
析	S
林	S
格	S
样	S
检	S
楷	S
术	S
长	T
季	T
么	T
知	T
秀	T
行	T
生	T
处	T
秒	T
得	T
各	T
务	T
向	T
秘	T
秋	T
管	T
称	T
物	T
条	T
笔	T
科	T
委	T
答	T
第	T
入	T
并	U
闻	U
冯	U
关	U
前	U
半	U
闰	U
站	U
冰	U
间	U
部	U
曾	U
商	U
决	U
普	U
帝	U
交	U
瓣	U
亲	U
立	U
妆	U
闪	U
北	U
六	U
毁	V
好	V
妈	V
姑	V
奶	V
寻	V
姨	V
叟	V
录	V
旭	V
如	V
舅	V
妯	V
刀	V
灵	V
巡	V
婚	V
姝	V
杂	V
九	V
嫌	V
妇	V
臾	V
姆	V
妨	V
代	W
他	W
公	W
估	W
仍	W
会	W
全	W
个	W
偿	W
介	W
保	W
佃	W
仙	W
亿	W
伙	W
侬	W
你	W
伯	W
休	W
作	W
们	W
分	W
从	W
化	W
信	W
红	X
弛	X
顷	X
级	X
结	X
线	X
引	X
纱	X
旨	X
强	X
细	X
纲	X
纪	X
继	X
综	X
约	X
绵	X
缥	X
张	X
弱	X
绿	X
给	X
比	X
纺	X
度	Y
离	Y
充	Y
庆	Y
衣	Y
计	Y
让	Y
就	Y
刘	Y
训	Y
高	Y
记	Y
变	Y
义	Y
诉	Y
订	Y
放	Y
说	Y
良	Y
认	Y
率	Y
方	Y
𦬀	A
匞	A
苷	A
𦬵	A
𠦜	A
芽	A
𠦌	A
𢌵	A
𦬇	A
戒	A
苣	A
戔	A
𦬗	A
荛	A
芅	A
𦫾	A
𦬎	A
荫	A
芓	A
茸	A
卭	A
邛	A
蒸	A
𦫼	A
茁	A
芤	A
菰	A
萨	A
匜	A
茎	A
苔	A
䔍	A
𦫿	A
莽	A
苊	A
茇	A
弎	A
𠤳	A
𢀚	A
戎	A
苦	A
葳	A
荐	A
藉	A
菲	A
若	A
苈	A
项	A
茂	A
𦫺	A
芖	A
蕨	A
𦬫	A
其	A
茏	A
艿	A
藐	A
𢒄	A
𢒅	A
𢎀	A
苴	A
苚	A
𢦨	A
㣉	A
散	A
藤	A
荽	A
芨	A
鞯	A
邯	A
靶	A
弍	A
甘	A
芏	A
𡉐	A
𦫽	A
蒜	A
芉	A
勒	A
贰	A
苇	A
鞍	A
鞠	A
靳	A
某	A
著	A
蔷	A
鞭	A
荆	A
匡	A
弌	A
𠥻	A
莆	A
芋	A
𦬬	A
廿	A
苤	A
蕙	A
蔌	A
芾	A
匚	A
匸	A
𠥓	A
莱	A
葬	A
茉	A
廾	A
苹	A
萋	A
荑	A
蘧	A
䒙	A
芷	A
苜	A
菽	A
𦫳	A
㐄	A
苫	A
𡕒	A
臣	A
茈	A
茳	A
范	A
菹	A
薄	A
菠	A
藻	A
荡	A
鸫	A
蒎	A
菏	A
落	A
䒕	A
汞	A
𦬭	A
𦭅	A
茫	A
蕞	A
莫	A
𢎃	A
萌	A
䒤	A
昔	A
㓚	A
𧈟	A
𧈱	A
草	A
𢀘	A
蔓	A
葛	A
蓝	A
茧	A
𧈩	A
𧈫	A
郾	A
𧈬	A
葺	A
叵	A
戓	A
𢀛	A
𦬅	A
匮	A
颧	A
莴	A
艻	A
茵	A
𤰭	A
苗	A
𤰻	A
𥁁	A
𦭝	A
莗	A
𦭖	A
匣	A
𢦦	A
荔	A
莲	A
萝	A
菌	A
匦	A
苏	A
芁	A
芟	A
英	A
苒	A
苖	A
茼	A
匝	A
𧴮	A
苘	A
苋	A
貢	A
貣	A
𦮷	A
𧴹	A
黄	A
巩	A
苠	A
艺	A
芑	A
𠃟	A
𦫴	A
𦬊	A
巨	A
蔚	A
𦏺	A
𦭳	A
𦏼	A
蔬	A
忒	A
薜	A
贳	A
蕊	A
𠃖	A
𢀕	A
芯	A
𢖶	A
𢖼	A
𠀍	A
𢀒	A
𢀓	A
𢀔	A
𢍻	A
蓼	A
苡	A
𠤻	A
炗	A
苂	A
菪	A
𨑬	A
蒙	A
荥	A
萤	A
营	A
劳	A
茕	A
荧	A
莺	A
荦	A
荣	A
蓉	A
萦	A
芪	A
苑	A
𠑶	A
菳	A
葡	A
𠀠	A
荀	A
敬	A
殴	A
苞	A
菊	A
欧	A
萄	A
获	A
艾	A
芕	A
兂	A
匹	A
旡	A
芡	A
芍	A
葩	A
菝	A
𢦑	A
苩	A
茱	A
芹	A
萆	A
茜	A
苯	A
葙	A
艼	A
蕈	A
菥	A
㭉	A
𣎽	A
𣏩	A
𣏼	A
菘	A
苌	A
医	A
莠	A
𢦍	A
芊	A
董	A
蓰	A
莉	A
𢎉	A
蓖	A
薇	A
蕃	A
藜	A
莪	A
䒘	A
䒩	A
𠀗	A
萎	A
莓	A
蒴	A
苙	A
菛	A
𢦥	A
莘	A
菩	A
蔽	A
蒂	A
蒋	A
薪	A
蒺	A
𦬩	A
蒹	A
蔺	A
艽	A
芀	A
菇	A
茛	A
荨	A
𦬑	A
𦭻	A
萧	A
茹	A
㓛	A
𠥭	A
萸	A
芄	A
苍	A
蓊	A
茯	A
蔡	A
葵	A
莜	A
𠤭	A
芥	A
𦫻	A
葆	A
巷	A
茶	A
荼	A
䒔	A
𦫸	A
芬	A
巫	A
花	A
蕉	A
荭	A
芎	A
荮	A
莼	A
𢦙	A
蕴	A
芗	A
芘	A
蔗	A
茺	A
𠂀	A
𠥇	A
𠥵	A
䓂	A
苄	A
𢌭	A
𢍺	A
蔼	A
蓑	A
蒿	A
芒	A
葶	A
蘑	A
蔟	A
芠	A
𠀖	A
莨	A
萃	A
蓄	A
𦔸	B
𨸖	B
聀	B
陬	B
䦻	B
孖	B
聑	B
耶	B
